date,title,outcome,side,size,usdcSize,price,type
2026-02-15 04:24:47,Will Marco Rubio win the 2028 US Presidential Election?,Yes,BUY,43.36,3.07856,0.071,TRADE
2026-02-15 04:26:23,"Will Russia capture Kostyantynivka by December 31, 2026?",No,BUY,11.15,1.561,0.14,TRADE
2026-02-15 04:26:51,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,50,44.65,0.893,TRADE
2026-02-15 04:34:33,Bad Bunny SB halftime 75M-100M views 7d?,Yes,SELL,5,4.495,0.899,TRADE
2026-02-15 04:38:43,Bad Bunny SB halftime 75M-100M views 7d?,Yes,SELL,306.97,274.73815,0.895,TRADE
2026-02-15 04:43:43,Will Marco Rubio win the 2028 US Presidential Election?,Yes,BUY,8.88,0.63048,0.071,TRADE
2026-02-15 07:00:53,"Will Russia capture Kostyantynivka by December 31, 2026?",No,BUY,13.59,1.9026,0.14,TRADE
2026-02-15 09:24:57,"Will Russia capture Kostyantynivka by December 31, 2026?",No,BUY,75.26,10.5364,0.14,TRADE
2026-02-15 12:52:45,Will Russia capture all of Vovchansk by March 31?,No,BUY,6.98,5.1652,0.74,TRADE
2026-02-15 13:05:15,Will Russia capture all of Vovchansk by March 31?,No,BUY,93.02,68.8348,0.74,TRADE
